Time (sec),S:Load (lbs),S:Position (in),Ch:Position (mm),Ch:Load (lbs),Ch:Stress (kPa),Ch:Strain (lbs),Cycles (),Time_P&V (),S:Load_P&V (),S:Position_P&V (),Ch:Position_P&V (),Ch:Load_P&V (),Ch:Stress_P&V (),Ch:Strain_P&V (),Cycles_P&V ()
1.5,0.659294,0.000926,0.023516,0.659294,149.398193,0.004703,0,,,,,,,,
1.52,0.675726,0.000933,0.023699,0.675726,153.12178,0.00474,0,,,,,,,,
1.54,0.711797,0.000946,0.024037,0.711797,161.295547,0.004807,0,,,,,,,,
1.56,0.721015,0.000959,0.02435,0.721015,163.384384,0.00487,0,,,,,,,,
1.58,0.71821,0.000971,0.024662,0.71821,162.748642,0.004932,0,,,,,,,,
1.6,0.714202,0.000986,0.025053,0.714202,161.840454,0.005011,0,,,,,,,,
1.62,0.741055,0.001006,0.025548,0.741055,167.925369,0.00511,0,,,,,,,,
1.64,0.762697,0.001018,0.02586,0.762697,172.829636,0.005172,0,,,,,,,,
1.66,0.787947,0.001025,0.026042,0.787947,178.551254,0.005208,0,,,,,,,,
1.68,0.789951,0.001036,0.026303,0.789951,179.005356,0.005261,0,,,,,,,,
1.7,0.801173,0.001045,0.026537,0.801173,181.548309,0.005307,0,,,,,,,,
1.72,0.791153,0.001057,0.02685,0.791153,179.277817,0.00537,0,,,,,,,,
1.74,0.797165,0.001071,0.027214,0.797165,180.640106,0.005443,0,,,,,,,,
1.76,0.82041,0.00108,0.027423,0.82041,185.907639,0.005485,0,,,,,,,,
1.78,0.832033,0.001085,0.027553,0.832033,188.541397,0.005511,0,,,,,,,,
1.8,0.858084,0.001098,0.027891,0.858084,194.444672,0.005578,0,,,,,,,,
1.82,0.858485,0.001111,0.02823,0.858485,194.535492,0.005646,0,,,,,,,,
1.84,0.884536,0.001136,0.028855,0.884536,200.438751,0.005771,0,,,,,,,,
1.86,0.883334,0.001148,0.029167,0.883334,200.166306,0.005833,0,,,,,,,,
1.88,0.890949,0.001163,0.029532,0.890949,201.891891,0.005906,0,,,,,,,,
1.9,0.912992,0.001187,0.030157,0.912992,206.886948,0.006031,0,,,,,,,,
1.92,0.943452,0.001204,0.030574,0.943452,213.789246,0.006115,0,,,,,,,,
