Time (sec),S:Load (lbs),S:Position (in),Ch:Position (mm),Ch:Load (lbs),Ch:Stress (kPa),Ch:Strain (lbs),Cycles (),Time_P&V (),S:Load_P&V (),S:Position_P&V (),Ch:Position_P&V (),Ch:Load_P&V (),Ch:Stress_P&V (),Ch:Strain_P&V (),Cycles_P&V ()
49.440002,47.597828,0.032353,0.821767,47.597828,10785.82129,0.164353,0,,,,,,,,
49.460003,47.613056,0.032364,0.822053,47.613056,10789.27246,0.164411,0,,,,,,,,
49.480003,47.591415,0.032373,0.822262,47.591415,10784.36816,0.164452,0,,,,,,,,
49.500004,47.547329,0.032382,0.822496,47.547329,10774.37793,0.164499,0,,,,,,,,
49.52,47.583,0.032394,0.822808,47.583,10782.46191,0.164562,0,,,,,,,,
49.540001,47.613056,0.032415,0.823329,47.613056,10789.27246,0.164666,0,,,,,,,,
49.560001,47.700428,0.032429,0.823694,47.700428,10809.07129,0.164739,0,,,,,,,,
49.580002,47.69001,0.032437,0.823902,47.69001,10806.71094,0.16478,0,,,,,,,,
49.600002,47.670372,0.032451,0.824267,47.670372,10802.26074,0.164853,0,,,,,,,,
49.620003,47.704437,0.032466,0.824631,47.704437,10809.97949,0.164926,0,,,,,,,,
49.640003,47.703236,0.032486,0.825152,47.703236,10809.70801,0.16503,0,,,,,,,,
49.660004,47.84391,0.032505,0.825621,47.84391,10841.58496,0.165124,0,,,,,,,,
49.680004,47.840305,0.032514,0.825855,47.840305,10840.76758,0.165171,0,,,,,,,,
49.700001,47.82748,0.032521,0.826038,47.82748,10837.86133,0.165208,0,,,,,,,,
49.720001,47.809044,0.032528,0.82622,47.809044,10833.68457,0.165244,0,,,,,,,,
49.740002,47.770969,0.03254,0.826506,47.770969,10825.05566,0.165301,0,,,,,,,,
49.760002,47.776581,0.032546,0.826663,47.776581,10826.32715,0.165333,0,,,,,,,,
49.780003,47.759747,0.032559,0.827001,47.759747,10822.5127,0.1654,0,,,,,,,,
49.800003,47.770969,0.032574,0.827392,47.770969,10825.05566,0.165478,0,,,,,,,,
49.820004,47.858341,0.032587,0.827704,47.858341,10844.85449,0.165541,0,,,,,,,,
49.840004,47.863548,0.032599,0.828017,47.863548,10846.03516,0.165603,0,,,,,,,,
49.860001,47.830284,0.032605,0.828173,47.830284,10838.49707,0.165635,0,,,,,,,,
49.880001,47.842308,0.032624,0.828642,47.842308,10841.22168,0.165728,0,,,,,,,,
49.900002,47.889603,0.032641,0.829085,47.889603,10851.93848,0.165817,0,,,,,,,,
49.920002,47.918858,0.032654,0.829423,47.918858,10858.56738,0.165885,0,,,,,,,,
49.940002,48.010639,0.03268,0.830074,48.010639,10879.36523,0.166015,0,,,,,,,,
49.960003,48.089993,0.032694,0.830439,48.089993,10897.34863,0.166088,0,,,,,,,,
49.980003,48.077568,0.0327,0.830569,48.077568,10894.53223,0.166114,0,,,,,,,,
50.000004,48.0411,0.032708,0.830777,48.0411,10886.26856,0.166155,0,,,,,,,,
50.020004,48.016651,0.032721,0.831116,48.016651,10880.72852,0.166223,0,,,,,,,,
50.040001,48.049114,0.032732,0.831402,48.049114,10888.08496,0.16628,0,,,,,,,,
50.060001,48.050316,0.032745,0.831715,48.050316,10888.35645,0.166343,0,,,,,,,,
50.080002,48.074364,0.032753,0.831923,48.074364,10893.80664,0.166385,0,,,,,,,,
50.100002,48.070354,0.032766,0.832262,48.070354,10892.89746,0.166452,0,,,,,,,,
50.120003,48.119652,0.032786,0.832757,48.119652,10904.06836,0.166551,0,,,,,,,,
50.140003,48.1437,0.0328,0.833121,48.1437,10909.51758,0.166624,0,,,,,,,,
50.160004,48.166946,0.03281,0.833382,48.166946,10914.78613,0.166676,0,,,,,,,,
50.180004,48.136086,0.032812,0.833434,48.136086,10907.79199,0.166687,0,,,,,,,,
50.200001,48.110836,0.03283,0.833876,48.110836,10902.07129,0.166775,0,,,,,,,,
50.220001,48.232674,0.032855,0.834527,48.232674,10929.67969,0.166905,0,,,,,,,,
50.240002,48.320847,0.032875,0.835022,48.320847,10949.66016,0.167004,0,,,,,,,,
50.260002,48.330868,0.032882,0.835205,48.330868,10951.93066,0.167041,0,,,,,,,,
50.280003,48.298405,0.032898,0.835621,48.298405,10944.5752,0.167124,0,,,,,,,,
50.300003,48.339684,0.032912,0.83596,48.339684,10953.92871,0.167192,0,,,,,,,,
50.320004,48.374153,0.032927,0.83635,48.374153,10961.73926,0.16727,0,,,,,,,,
50.340004,48.466331,0.032944,0.836767,48.466331,10982.62793,0.167353,0,,,,,,,,
50.360001,48.412228,0.032951,0.836949,48.412228,10970.36719,0.16739,0,,,,,,,,
50.380001,48.413429,0.032966,0.83734,48.413429,10970.63965,0.167468,0,,,,,,,,
50.400002,48.437878,0.032975,0.837574,48.437878,10976.17969,0.167515,0,,,,,,,,
50.420002,48.421444,0.032989,0.837913,48.421444,10972.45508,0.167583,0,,,,,,,,
50.440002,48.459118,0.033006,0.838356,48.459118,10980.99219,0.167671,0,,,,,,,,
50.460003,48.487576,0.033019,0.838694,48.487576,10987.44043,0.167739,0,,,,,,,,
50.480003,48.560116,0.033036,0.839111,48.560116,11003.87891,0.167822,0,,,,,,,,
50.500004,48.583363,0.033053,0.839554,48.583363,11009.14648,0.167911,0,,,,,,,,
50.520004,48.612621,0.033071,0.839996,48.612621,11015.77734,0.167999,0,,,,,,,,
50.540001,48.624245,0.033084,0.840335,48.624245,11018.41113,0.168067,0,,,,,,,,
50.560001,48.62825,0.033095,0.840621,48.62825,11019.31934,0.168124,0,,,,,,,,
50.580002,48.6535,0.033103,0.840804,48.6535,11025.04004,0.168161,0,,,,,,,,
50.600002,48.608212,0.033112,0.841038,48.608212,11014.77734,0.168208,0,,,,,,,,
50.620003,48.628651,0.033121,0.841272,48.628651,11019.40918,0.168254,0,,,,,,,,
50.640003,48.578953,0.033126,0.841403,48.578953,11008.14746,0.168281,0,,,,,,,,
50.660004,48.549698,0.03314,0.841767,48.549698,11001.51856,0.168353,0,,,,,,,,
50.680004,48.625046,0.033166,0.842418,48.625046,11018.59277,0.168484,0,,,,,,,,
50.700001,48.714821,0.033188,0.842965,48.714821,11038.93555,0.168593,0,,,,,,,,
50.720001,48.794579,0.033198,0.843226,48.794579,11057.00977,0.168645,0,,,,,,,,
50.740002,48.764919,0.033206,0.843434,48.764919,11050.28809,0.168687,0,,,,,,,,
50.760002,48.732456,0.033212,0.84359,48.732456,11042.93262,0.168718,0,,,,,,,,
50.780003,48.728447,0.033223,0.843877,48.728447,11042.02344,0.168775,0,,,,,,,,
50.800003,48.719231,0.033245,0.844424,48.719231,11039.93555,0.168885,0,,,,,,,,
50.820004,48.825439,0.033261,0.84484,48.825439,11064.00195,0.168968,0,,,,,,,,
50.840004,48.821831,0.033267,0.84497,48.821831,11063.18457,0.168994,0,,,,,,,,
50.860001,48.787766,0.033274,0.845153,48.787766,11055.46582,0.169031,0,,,,,,,,
50.880001,48.802593,0.03329,0.845569,48.802593,11058.82617,0.169114,0,,,,,,,,
50.900002,48.84668,0.033308,0.846012,48.84668,11068.81543,0.169202,0,,,,,,,,
50.920002,48.867519,0.033323,0.846403,48.867519,11073.53809,0.169281,0,,,,,,,,
50.940002,48.92403,0.033351,0.847106,48.92403,11086.34375,0.169421,0,,,,,,,,
50.960003,49.053085,0.03337,0.847601,49.053085,11115.58789,0.16952,0,,,,,,,,
50.980003,49.08234,0.033384,0.847965,49.08234,11122.2168,0.169593,0,,,,,,,,
51.000004,49.105186,0.033392,0.848148,49.105186,11127.39453,0.16963,0,,,,,,,,
51.020004,49.042263,0.0334,0.848356,49.042263,11113.13574,0.169671,0,,,,,,,,
51.040001,49.025829,0.033406,0.848512,49.025829,11109.41211,0.169702,0,,,,,,,,
51.060001,49.005791,0.03342,0.848877,49.005791,11104.87012,0.169775,0,,,,,,,,
51.080002,49.017815,0.033434,0.849215,49.017815,11107.59473,0.169843,0,,,,,,,,
51.100002,49.047073,0.033447,0.849554,49.047073,11114.22461,0.169911,0,,,,,,,,
51.120003,49.078735,0.033463,0.849971,49.078735,11121.40039,0.169994,0,,,,,,,,
51.140003,49.134846,0.03348,0.850387,49.134846,11134.11426,0.170077,0,,,,,,,,
51.160004,49.178131,0.033494,0.850752,49.178131,11143.92383,0.17015,0,,,,,,,,
51.180004,49.166508,0.033507,0.85109,49.166508,11141.29004,0.170218,0,,,,,,,,
51.200001,49.16851,0.033521,0.851429,49.16851,11141.74316,0.170286,0,,,,,,,,
51.220001,49.19416,0.033536,0.85182,49.19416,11147.55566,0.170364,0,,,,,,,,
51.240002,49.254681,0.033552,0.85221,49.254681,11161.26953,0.170442,0,,,,,,,,
51.260002,49.27512,0.033559,0.852392,49.27512,11165.90137,0.170479,0,,,,,,,,
51.280003,49.211796,0.033564,0.852523,49.211796,11151.55273,0.170505,0,,,,,,,,
51.300003,49.169712,0.033566,0.852575,49.169712,11142.01563,0.170515,0,,,,,,,,
51.320004,49.099174,0.033578,0.852887,49.099174,11126.03125,0.170577,0,,,,,,,,
51.340004,49.153282,0.033594,0.853278,49.153282,11138.29297,0.170656,0,,,,,,,,
51.360001,49.182938,0.033606,0.85359,49.182938,11145.0127,0.170718,0,,,,,,,,
51.380001,49.225021,0.033624,0.854059,49.225021,11154.54883,0.170812,0,,,,,,,,
51.400002,49.309189,0.033645,0.85458,49.309189,11173.62109,0.170916,0,,,,,,,,
51.420002,49.342854,0.033662,0.855023,49.342854,11181.25,0.171005,0,,,,,,,,
51.440002,49.419804,0.03368,0.855466,49.419804,11198.68652,0.171093,0,,,,,,,,
51.460003,49.412991,0.03369,0.855726,49.412991,11197.14356,0.171145,0,,,,,,,,
51.480003,49.403774,0.033703,0.856064,49.403774,11195.05469,0.171213,0,,,,,,,,
51.500004,49.44746,0.033716,0.856377,49.44746,11204.9541,0.171275,0,,,,,,,,
51.520004,49.429424,0.033725,0.856611,49.429424,11200.86719,0.171322,0,,,,,,,,
51.540001,49.461487,0.033736,0.856898,49.461487,11208.13281,0.17138,0,,,,,,,,
51.560001,49.4174,0.03374,0.857002,49.4174,11198.14258,0.1714,0,,,,,,,,
51.580002,49.335239,0.03374,0.857002,49.335239,11179.52441,0.1714,0,,,,,,,,
51.600002,49.278728,0.03374,0.857002,49.278728,11166.71973,0.1714,0,,,,,,,,
51.620003,49.214603,0.033745,0.857132,49.214603,11152.18848,0.171426,0,,,,,,,,
51.640003,49.273518,0.033772,0.857809,49.273518,11165.53809,0.171562,0,,,,,,,,
51.660004,49.410988,0.033801,0.858539,49.410988,11196.68945,0.171708,0,,,,,,,,
51.680004,49.556072,0.03383,0.859294,49.556072,11229.56641,0.171859,0,,,,,,,,
51.700001,49.657871,0.033849,0.859763,49.657871,11252.63379,0.171953,0,,,,,,,,
51.720001,49.681118,0.033864,0.860153,49.681118,11257.90137,0.172031,0,,,,,,,,
51.740002,49.671097,0.03387,0.860309,49.671097,11255.63086,0.172062,0,,,,,,,,
51.760002,49.649055,0.033876,0.86044,49.649055,11250.63672,0.172088,0,,,,,,,,
51.780003,49.618595,0.033883,0.860622,49.618595,11243.73438,0.172124,0,,,,,,,,
51.800003,49.58012,0.033889,0.860778,49.58012,11235.01563,0.172156,0,,,,,,,,
51.820004,49.565289,0.033895,0.860934,49.565289,11231.6543,0.172187,0,,,,,,,,
51.840004,49.538036,0.033908,0.861273,49.538036,11225.47852,0.172255,0,,,,,,,,
51.860001,49.539238,0.033917,0.861481,49.539238,11225.75195,0.172296,0,,,,,,,,
51.880001,49.556873,0.033934,0.861924,49.556873,11229.74707,0.172385,0,,,,,,,,
51.900002,49.630619,0.033951,0.862367,49.630619,11246.45801,0.172473,0,,,,,,,,
51.920002,49.675507,0.033961,0.862601,49.675507,11256.63086,0.17252,0,,,,,,,,
51.940002,49.637432,0.03397,0.862835,49.637432,11248.00293,0.172567,0,,,,,,,,
51.960003,49.65226,0.033987,0.863278,49.65226,11251.36328,0.172656,0,,,,,,,,
51.980003,49.711979,0.034006,0.863747,49.711979,11264.89551,0.172749,0,,,,,,,,
52.000004,49.76849,0.034019,0.864086,49.76849,11277.7002,0.172817,0,,,,,,,,
52.020004,49.775303,0.034029,0.864346,49.775303,11279.24414,0.172869,0,,,,,,,,
52.040001,49.788128,0.034043,0.864685,49.788128,11282.15039,0.172937,0,,,,,,,,
52.060001,49.818188,0.034046,0.864763,49.818188,11288.96191,0.172953,0,,,,,,,,
52.080002,49.719193,0.034048,0.864815,49.719193,11266.5293,0.172963,0,,,,,,,,
52.100002,49.687931,0.034062,0.865179,49.687931,11259.44629,0.173036,0,,,,,,,,
52.120003,49.754463,0.034087,0.865804,49.754463,11274.52246,0.173161,0,,,,,,,,
52.140003,49.829811,0.0341,0.866143,49.829811,11291.5957,0.173229,0,,,,,,,,
52.160004,49.923592,0.034126,0.866794,49.923592,11312.84766,0.173359,0,,,,,,,,
52.180004,50.0294,0.034153,0.867497,50.0294,11336.82422,0.173499,0,,,,,,,,
52.200001,50.132805,0.034172,0.867966,50.132805,11360.25586,0.173593,0,,,,,,,,
52.220001,50.16647,0.034189,0.868409,50.16647,11367.88477,0.173682,0,,,,,,,,
52.240002,50.17609,0.034205,0.868799,50.17609,11370.06445,0.17376,0,,,,,,,,
52.260002,50.214565,0.034213,0.869008,50.214565,11378.7832,0.173802,0,,,,,,,,
52.280003,50.173283,0.034221,0.869216,50.173283,11369.42773,0.173843,0,,,,,,,,
52.300003,50.152843,0.03423,0.86945,50.152843,11364.7959,0.17389,0,,,,,,,,
52.320004,50.168472,0.034239,0.869659,50.168472,11368.33789,0.173932,0,,,,,,,,
52.340004,50.107155,0.034248,0.869893,50.107155,11354.44336,0.173979,0,,,,,,,,
52.360001,50.098335,0.034257,0.870127,50.098335,11352.44434,0.174025,0,,,,,,,,
52.380001,50.105949,0.034272,0.870518,50.105949,11354.16992,0.174104,0,,,,,,,,
52.400002,50.152843,0.034293,0.871039,50.152843,11364.7959,0.174208,0,,,,,,,,
52.420002,50.239815,0.034307,0.871403,50.239815,11384.50391,0.174281,0,,,,,,,,
52.440002,50.249031,0.034317,0.871664,50.249031,11386.59277,0.174333,0,,,,,,,,
52.460003,50.261856,0.034337,0.872159,50.261856,11389.49902,0.174432,0,,,,,,,,
52.480003,50.313961,0.034349,0.872471,50.313961,11401.30664,0.174494,0,,,,,,,,
52.500004,50.292717,0.034358,0.872706,50.292717,11396.49219,0.174541,0,,,,,,,,
52.520004,50.261856,0.034364,0.872836,50.261856,11389.49902,0.174567,0,,,,,,,,
52.540001,50.235405,0.034376,0.873148,50.235405,11383.50488,0.17463,0,,,,,,,,
52.560001,50.313156,0.034388,0.873461,50.313156,11401.12402,0.174692,0,,,,,,,,
52.580002,50.291515,0.034405,0.873877,50.291515,11396.21973,0.174775,0,,,,,,,,
52.600002,50.360851,0.034423,0.874346,50.360851,11411.93164,0.174869,0,,,,,,,,
52.620003,50.41576,0.034447,0.874945,50.41576,11424.37402,0.174989,0,,,,,,,,
52.640003,50.461048,0.034461,0.87531,50.461048,11434.63672,0.175062,0,,,,,,,,
52.660004,50.507137,0.03447,0.875544,50.507137,11445.08106,0.175109,0,,,,,,,,
52.680004,50.473473,0.034483,0.875857,50.473473,11437.45215,0.175171,0,,,,,,,,
52.700001,50.493511,0.034495,0.876169,50.493511,11441.99219,0.175234,0,,,,,,,,
52.720001,50.562046,0.03451,0.87656,50.562046,11457.52246,0.175312,0,,,,,,,,
52.740002,50.52718,0.03452,0.87682,50.52718,11449.62207,0.175364,0,,,,,,,,
52.760002,50.498322,0.034524,0.876898,50.498322,11443.08301,0.17538,0,,,,,,,,
52.780003,50.440609,0.034536,0.877211,50.440609,11430.00488,0.175442,0,,,,,,,,
52.800003,50.484295,0.03455,0.877575,50.484295,11439.9043,0.175515,0,,,,,,,,
52.820004,50.560444,0.034564,0.877914,50.560444,11457.16016,0.175583,0,,,,,,,,
52.840004,50.560444,0.034582,0.878383,50.560444,11457.16016,0.175677,0,,,,,,,,
52.860001,50.62978,0.034599,0.878826,50.62978,11472.87207,0.175765,0,,,,,,,,
52.880001,50.637794,0.034614,0.87919,50.637794,11474.68848,0.175838,0,,,,,,,,
52.900002,50.636593,0.034621,0.879372,50.636593,11474.41504,0.175874,0,,,,,,,,
52.920002,50.612144,0.034628,0.879555,50.612144,11468.87598,0.175911,0,,,,,,,,
52.940002,50.610943,0.034637,0.879789,50.610943,11468.60254,0.175958,0,,,,,,,,
52.960003,50.618958,0.034651,0.880128,50.618958,11470.41895,0.176026,0,,,,,,,,
52.980003,50.618156,0.03466,0.880362,50.618156,11470.23731,0.176072,0,,,,,,,,
53.000004,50.647415,0.034676,0.880779,50.647415,11476.86719,0.176156,0,,,,,,,,
53.020004,50.639801,0.034688,0.881065,50.639801,11475.14258,0.176213,0,,,,,,,,
53.040001,50.639801,0.034692,0.881169,50.639801,11475.14258,0.176234,0,,,,,,,,
53.060001,50.598118,0.034703,0.881456,50.598118,11465.69727,0.176291,0,,,,,,,,
53.080002,50.667053,0.034721,0.881925,50.667053,11481.31738,0.176385,0,,,,,,,,
53.100002,50.7416,0.034742,0.882445,50.7416,11498.20996,0.176489,0,,,,,,,,
53.120003,50.78809,0.034758,0.882862,50.78809,11508.74609,0.176572,0,,,,,,,,
53.140003,50.824162,0.034779,0.883383,50.824162,11516.91895,0.176677,0,,,,,,,,
53.160004,50.909527,0.0348,0.88393,50.909527,11536.26367,0.176786,0,,,,,,,,
53.180004,50.954018,0.034807,0.884086,50.954018,11546.34473,0.176817,0,,,,,,,,
53.200001,50.853016,0.034808,0.884112,50.853016,11523.45703,0.176822,0,,,,,,,,
53.220001,50.844601,0.034818,0.884372,50.844601,11521.55078,0.176875,0,,,,,,,,
53.240002,50.851814,0.034833,0.884763,50.851814,11523.18555,0.176953,0,,,,,,,,
53.260002,50.881474,0.03484,0.884945,50.881474,11529.90723,0.176989,0,,,,,,,,
53.280003,50.847008,0.03485,0.88518,50.847008,11522.09668,0.177036,0,,,,,,,,
53.300003,50.816547,0.034863,0.885518,50.816547,11515.19434,0.177104,0,,,,,,,,
53.320004,50.895901,0.034885,0.886091,50.895901,11533.17578,0.177218,0,,,,,,,,
53.340004,51.010124,0.034911,0.886742,51.010124,11559.05859,0.177348,0,,,,,,,,
53.360004,51.083069,0.034924,0.887081,51.083069,11575.58789,0.177416,0,,,,,,,,
53.380001,51.10952,0.034934,0.887315,51.10952,11581.58203,0.177463,0,,,,,,,,
53.400002,51.068241,0.03495,0.887732,51.068241,11572.22754,0.177546,0,,,,,,,,
53.420002,51.108318,0.034963,0.888071,51.108318,11581.31055,0.177614,0,,,,,,,,
53.440002,51.132366,0.03498,0.888487,51.132366,11586.75977,0.177697,0,,,,,,,,
53.460003,51.164829,0.034994,0.888852,51.164829,11594.11523,0.17777,0,,,,,,,,
53.480003,51.199299,0.035001,0.889034,51.199299,11601.92676,0.177807,0,,,,,,,,
53.500004,51.189278,0.035013,0.889321,51.189278,11599.65625,0.177864,0,,,,,,,,
53.520004,51.1492,0.035018,0.889451,51.1492,11590.57324,0.17789,0,,,,,,,,
53.540001,51.127155,0.03503,0.889763,51.127155,11585.5791,0.177953,0,,,,,,,,
53.560001,51.132366,0.035046,0.89018,51.132366,11586.75977,0.178036,0,,,,,,,,
53.580002,51.206112,0.035063,0.890597,51.206112,11603.46973,0.178119,0,,,,,,,,
53.600002,51.213726,0.035068,0.890727,51.213726,11605.19531,0.178145,0,,,,,,,,
53.620003,51.157215,0.035079,0.891013,51.157215,11592.38965,0.178203,0,,,,,,,,
53.640003,51.224548,0.0351,0.891534,51.224548,11607.64844,0.178307,0,,,,,,,,
53.660004,51.28146,0.035115,0.891925,51.28146,11620.54395,0.178385,0,,,,,,,,
53.680004,51.289875,0.035124,0.892159,51.289875,11622.45215,0.178432,0,,,,,,,,
53.700001,51.30751,0.035139,0.892524,51.30751,11626.44727,0.178505,0,,,,,,,,
53.720001,51.288673,0.035154,0.892914,51.288673,11622.17871,0.178583,0,,,,,,,,
53.740002,51.387268,0.035177,0.893487,51.387268,11644.52051,0.178697,0,,,,,,,,
53.760002,51.439369,0.035188,0.893774,51.439369,11656.32715,0.178755,0,,,,,,,,
53.780003,51.442574,0.035195,0.893956,51.442574,11657.05273,0.178791,0,,,,,,,,
53.800003,51.413719,0.035206,0.894243,51.413719,11650.51465,0.178849,0,,,,,,,,
53.820004,51.398888,0.035218,0.894529,51.398888,11647.1543,0.178906,0,,,,,,,,
53.840004,51.38406,0.035226,0.894737,51.38406,11643.79395,0.178947,0,,,,,,,,
53.860004,51.36282,0.035238,0.89505,51.36282,11638.98145,0.17901,0,,,,,,,,
53.880001,51.44418,0.035256,0.895493,51.44418,11657.41699,0.179099,0,,,,,,,,
53.900002,51.517521,0.035284,0.896222,51.517521,11674.03613,0.179244,0,,,,,,,,
53.920002,51.637356,0.035303,0.896691,51.637356,11701.19141,0.179338,0,,,,,,,,
53.940002,51.656994,0.035316,0.897029,51.656994,11705.6416,0.179406,0,,,,,,,,
53.960003,51.608501,0.035327,0.897316,51.608501,11694.65332,0.179463,0,,,,,,,,
53.980003,51.638561,0.035339,0.897602,51.638561,11701.46484,0.17952,0,,,,,,,,
54.000004,51.679039,0.035357,0.898071,51.679039,11710.63672,0.179614,0,,,,,,,,
54.020004,51.70549,0.03537,0.898409,51.70549,11716.63086,0.179682,0,,,,,,,,
54.040001,51.73595,0.035379,0.898618,51.73595,11723.5332,0.179724,0,,,,,,,,
54.060001,51.697075,0.035391,0.89893,51.697075,11714.72363,0.179786,0,,,,,,,,
54.080002,51.67503,0.0354,0.899165,51.67503,11709.72949,0.179833,0,,,,,,,,
54.100002,51.681042,0.03541,0.899425,51.681042,11711.09082,0.179885,0,,,,,,,,
54.120003,51.662205,0.035424,0.899764,51.662205,11706.82227,0.179953,0,,,,,,,,
54.140003,51.685051,0.035439,0.900154,51.685051,11712,0.180031,0,,,,,,,,
54.160004,51.774025,0.035457,0.900597,51.774025,11732.16113,0.180119,0,,,,,,,,
54.180004,51.771221,0.035464,0.900779,51.771221,11731.52637,0.180156,0,,,,,,,,
54.200001,51.781239,0.035477,0.901118,51.781239,11733.7959,0.180224,0,,,,,,,,
54.220001,51.763603,0.035492,0.901508,51.763603,11729.79981,0.180302,0,,,,,,,,
54.240002,51.818512,0.035508,0.901899,51.818512,11742.24219,0.18038,0,,,,,,,,
54.260002,51.815308,0.035518,0.902159,51.815308,11741.51563,0.180432,0,,,,,,,,
54.280003,51.828934,0.03553,0.902472,51.828934,11744.60449,0.180494,0,,,,,,,,
54.300003,51.870213,0.035544,0.902811,51.870213,11753.95801,0.180562,0,,,,,,,,
54.320004,51.875824,0.035557,0.903149,51.875824,11755.22949,0.18063,0,,,,,,,,
54.340004,51.900673,0.035571,0.903514,51.900673,11760.86035,0.180703,0,,,,,,,,
54.360004,51.853382,0.035585,0.903852,51.853382,11750.14356,0.18077,0,,,,,,,,
54.380001,51.947968,0.035602,0.904295,51.947968,11771.57715,0.180859,0,,,,,,,,
54.400002,51.957985,0.035612,0.904555,51.957985,11773.84766,0.180911,0,,,,,,,,
54.420002,51.990452,0.03563,0.904998,51.990452,11781.2041,0.181,0,,,,,,,,
54.440002,52.072212,0.035646,0.905415,52.072212,11799.73145,0.181083,0,,,,,,,,
54.460003,52.04015,0.035657,0.905675,52.04015,11792.46582,0.181135,0,,,,,,,,
54.480003,52.038143,0.035669,0.905988,52.038143,11792.01172,0.181198,0,,,,,,,,
54.500004,52.083832,0.035687,0.906456,52.083832,11802.36426,0.181291,0,,,,,,,,
54.520004,52.074215,0.035694,0.906639,52.074215,11800.18457,0.181328,0,,,,,,,,
54.540001,52.06139,0.035704,0.906873,52.06139,11797.2793,0.181375,0,,,,,,,,
54.560001,52.070206,0.035715,0.90716,52.070206,11799.27734,0.181432,0,,,,,,,,
54.580002,52.077419,0.035727,0.907472,52.077419,11800.91113,0.181494,0,,,,,,,,
54.600002,52.108681,0.035743,0.907863,52.108681,11807.99512,0.181573,0,,,,,,,,
54.620003,52.113491,0.035757,0.908227,52.113491,11809.08496,0.181645,0,,,,,,,,
54.640003,52.130726,0.035767,0.908488,52.130726,11812.99121,0.181698,0,,,,,,,,
54.660004,52.155575,0.035782,0.908852,52.155575,11818.62207,0.18177,0,,,,,,,,
54.680004,52.129124,0.035786,0.908957,52.129124,11812.62793,0.181791,0,,,,,,,,
54.700001,52.132328,0.035799,0.909295,52.132328,11813.35449,0.181859,0,,,,,,,,
54.720001,52.188839,0.035816,0.909738,52.188839,11826.15918,0.181948,0,,,,,,,,
54.740002,52.179623,0.03582,0.909816,52.179623,11824.07129,0.181963,0,,,,,,,,
54.760002,52.10828,0.035828,0.910024,52.10828,11807.90527,0.182005,0,,,,,,,,
54.780003,52.111088,0.035841,0.910363,52.111088,11808.54102,0.182073,0,,,,,,,,
54.800003,52.165592,0.03586,0.910832,52.165592,11820.8916,0.182166,0,,,,,,,,
54.820004,52.24054,0.035874,0.911196,52.24054,11837.875,0.182239,0,,,,,,,,
54.840004,52.219299,0.035878,0.9113,52.219299,11833.06152,0.18226,0,,,,,,,,
54.860004,52.158379,0.03588,0.911352,52.158379,11819.25684,0.18227,0,,,,,,,,
54.880001,52.169201,0.035909,0.912082,52.169201,11821.70898,0.182416,0,,,,,,,,
54.900002,52.342342,0.035942,0.912915,52.342342,11860.94434,0.182583,0,,,,,,,,
54.920002,52.446945,0.035956,0.91328,52.446945,11884.64648,0.182656,0,,,,,,,,
54.940002,52.419693,0.035959,0.913358,52.419693,11878.47168,0.182672,0,,,,,,,,
54.960003,52.393642,0.035964,0.913488,52.393642,11872.56836,0.182698,0,,,,,,,,
54.980003,52.347954,0.035978,0.913852,52.347954,11862.21582,0.182771,0,,,,,,,,
55.000004,52.41769,0.035994,0.914243,52.41769,11878.01758,0.182849,0,,,,,,,,
55.020004,52.388031,0.036003,0.914477,52.388031,11871.29688,0.182895,0,,,,,,,,
55.040001,52.379215,0.036011,0.914686,52.379215,11869.29883,0.182937,0,,,,,,,,
55.060001,52.388031,0.036029,0.915129,52.388031,11871.29688,0.183026,0,,,,,,,,
55.080002,52.441334,0.036045,0.915545,52.441334,11883.37598,0.183109,0,,,,,,,,
55.100002,52.556362,0.036063,0.915988,52.556362,11909.44141,0.183198,0,,,,,,,,
55.120003,52.569187,0.036081,0.916457,52.569187,11912.34766,0.183291,0,,,,,,,,
55.140003,52.576801,0.036093,0.916769,52.576801,11914.07324,0.183354,0,,,,,,,,
55.160004,52.581612,0.036104,0.91703,52.581612,11915.16309,0.183406,0,,,,,,,,
55.180004,52.568787,0.036115,0.917316,52.568787,11912.25684,0.183463,0,,,,,,,,
55.200001,52.592834,0.036127,0.917629,52.592834,11917.70606,0.183526,0,,,,,,,,
55.220001,52.607662,0.036132,0.917759,52.607662,11921.06641,0.183552,0,,,,,,,,
55.240002,52.54995,0.036139,0.917941,52.54995,11907.98828,0.183588,0,,,,,,,,
55.260002,52.543938,0.036147,0.918123,52.543938,11906.62598,0.183625,0,,,,,,,,
55.280003,52.512676,0.036158,0.91841,52.512676,11899.54199,0.183682,0,,,,,,,,
55.300003,52.515079,0.036171,0.918748,52.515079,11900.08691,0.18375,0,,,,,,,,
55.320004,52.556362,0.036181,0.919009,52.556362,11909.44141,0.183802,0,,,,,,,,
55.340004,52.549149,0.036196,0.919374,52.549149,11907.80664,0.183875,0,,,,,,,,
55.360004,52.629303,0.036217,0.91992,52.629303,11925.96973,0.183984,0,,,,,,,,
55.380001,52.730701,0.036243,0.920571,52.730701,11948.94727,0.184114,0,,,,,,,,
55.400002,52.806854,0.036266,0.921144,52.806854,11966.2041,0.184229,0,,,,,,,,
55.420002,52.877792,0.036285,0.921639,52.877792,11982.2793,0.184328,0,,,,,,,,
55.440002,52.90144,0.036295,0.921899,52.90144,11987.63672,0.18438,0,,,,,,,,
